country,word,image,crop,description
Croatia,cravat,https://pbs.twimg.com/media/EHJvQBTXUAEGLlJ.jpg,,originally a linen scarf worn by Croatian mercenaries
Cyprus,copper,https://upload.wikimedia.org/wikipedia/commons/f/f0/NatCopper.jpg,,from Latin aes cyprium ("Cypriot brass")
Spain,spaniel,https://www.pdsa.org.uk/media/8265/cocker-spaniel-outdoors-gallery-2-min.jpg?anchor=center&mode=crop&quality=100&height=500&bgcolor=fff&rnd=132204646460000000,,literally "Spanish (dog)"
Sweden,suede,https://www.birkenstock.com/on/demandware.static/-/Sites-master-catalog/default/dwd0892529/1009543/1009543_detail-1.jpg,,from French gants de Suède ("gloves of Sweden")
Turkey,turquoise,https://upload.wikimedia.org/wikipedia/commons/7/7d/Turquoise-40031.jpg,1,from French pierre turquoise ("Turkish stone")
Iran,peach,https://media.glamour.com/photos/5695e03b16d0dc3747ee7085/master/pass/inspired-2016-01-peach-app-fruit-getty-main.jpg,,from Latin malum persicum ("Persian apple")
India,indigo,https://upload.wikimedia.org/wikipedia/commons/1/18/Indigo_plant_extract_sample.jpg,,"""Indian"" dye, imported via the Silk Road"
China,china,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Chinese_-_Flask_-_Walters_491632_%28square%29.jpg/1024px-Chinese_-_Flask_-_Walters_491632_%28square%29.jpg
Congo*,conga,https://cdn.shopify.com/s/files/1/0275/1591/2252/articles/Conga_Banner_1433x1142.png?v=1636489820,,reference to Afro-Cuban slaves from the Congo region
Guinea*,guinea,https://upload.wikimedia.org/wikipedia/commons/b/b0/5_Guineas%2C_James_II%2C_England%2C_1688_-_Bode-Museum_-_DSC02761.jpg,,named after the source of the coin's gold
Egypt,gypsy,https://www.sunnybuick.com/wp-content/uploads/2010/06/gypsylook1.jpg,,"based on the false belief that the Romani were from Egypt"
Scotland,scotch,https://images.unsplash.com/photo-1614098691332-7b838d40ca53?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MXx8d2hpc2tleSUyMGdsYXNzfGVufDB8fDB8fA%3D%3D&w=1000&q=80,0.8,whisky not whiskey
Panama,Panama hat,https://www.anthonyjohncoletti.com/img-get/I0000fAI7uqWnFaw/s/1200/I0000fAI7uqWnFaw.jpg,0,Ecuadorian in origin but exported to Panama during the construction of the canal
Thailand,Siamese,https://s36537.pcdn.co/wp-content/uploads/2017/11/A-Siamese-cat.jpg.optimal.jpg,,from Thailand's old name Siam
Germany,germanium,https://upload.wikimedia.org/wikipedia/commons/0/08/Polycrystalline-germanium.jpg
France,gallium,https://upload.wikimedia.org/wikipedia/commons/9/92/Gallium_crystals.jpg,,"coincidentally gallus also means rooster, like the discoverer Lecoq's name"
Malta,Maltese,https://i.pinimg.com/736x/ca/f9/a8/caf9a8c192cdbdd2b6d17efabc0b1260--maltese-dogs-havanese-puppies.jpg,0.2
Denmark,Danish,https://static.toiimg.com/thumb/75700831.cms?imgsize=1661190&width=800&height=800,,in Danish these are called wienerbrød (Viennese bread)
Russia,ruthenium,https://upload.wikimedia.org/wikipedia/commons/2/2c/Ruthenium_a_half_bar.jpg,,"named after Russia, though Ruthenia is mostly in Ukraine"
Bulgaria,bugger,https://sites.google.com/site/100objectsbritishmuseum/_/rsrc/1381235317908/home/warren-cup/36%20-%20Warren%20Cup.jpg,,pejorative reference to the Bulgarian Bogomil heretics
Italy,italics,https://upload.wikimedia.org/wikipedia/commons/1/12/Arrighi_italic.png,,stylised form of calligraphic handwriting
Sri Lanka,serendipity,https://serendipities948278108.files.wordpress.com/2021/02/insiders-guide-to-serendipity.png,,"from Sri Lanka's old name Serendip, based on a Persian story"
Canada,canola,https://post.healthline.com/wp-content/uploads/2020/09/is-canola-oil-healthy-1200x628-facebook-1200x628.jpg,,"acronym of CANadian Oil, Low Acid"
Japan,japanning,https://nicholaswells.com/wp-content/uploads/a-pair-of-red-lacquer-regency-end-tables.jpg,,European imitation of East Asian lacquerwork
Switzerland,Swiss cheese,https://images.theconversation.com/files/316919/original/file-20200224-24701-1lk36vg.jpg?ixlib=rb-1.1.0&q=45&auto=format&w=1200&h=1200.0&fit=crop,,also used figuratively
Brazil,Brazilian,https://www.babycenter.com/ims/2021/11/iStock-172413640_wide.jpg,,popoularised by a Brazilian beautician in New York
Mexico,Mexican wave,https://media.istockphoto.com/photos/stadium-crowd-doing-a-mexican-wave-picture-id1130790218,,popularised in the 1986 World Cup in Mexico
