language,word,group
Albanian,vaksinë,
Basque,txerto,o
Belarusian,вакцына,v
Breton,,
Bulgarian,ваксина,v
Catalan,vacuna\nvacci,v
Czech,vakcína\nočkovací látka,vo
Danish,vaccine,v
Dutch,vaccin\nentstof,vo
English,vaccine,v
Estonian,vaktsiin,v
Faroese,koppingarevni,o
Finnish,rokote,o
French,vaccin,v
Galician,vacina,v
German,Impfstoff\nVakzine,vo
Greek,εμβόλιο\n(emvólio),o
Hungarian,vakcina,v
Icelandic,bóluefni,o
Irish,vacsaín,v
Italian,vaccino,v
Latvian,vakcīna,v
Lithuanian,vakcina\nskiepas,vo
Luxembourgish,,
Macedonian,вакцина,v
Maltese,,
Norwegian,vaksine,v
Polish,szczepionka,o
Portuguese,vacina,v
Romanian,vaccin,v
Russian,вакцина\n(vakcína),v
Scottish,banachdach,o
Serbo-Croatian,,
Slovak,vakcína,v
Slovene,cepivo,o
Spanish,vacuna,v
Swedish,vaccin,v
Turkish,aşı,o
Ukrainian,вакцина,v
Welsh,brechlyn,o

Georgian,,
Azeri,,
Armenian,,
Arabic,لقاح\n(laqāḥ),o
Hebrew,חיסון\n(khisún),o
Persian,واکسن\n(vâksan),v
Kazakh,вакцина,v
